Year,UNIT_MEASURE,Sex,Age,Value
1971,Number,Both sexes,Age 0-4,405505
1971,Number,Both sexes,Age 0-14,1290369
1971,Number,Both sexes,Age 5-9,442665
1971,Number,Both sexes,Age 10-14,442199
1971,Number,Both sexes,Age 15-19,411387
1971,Number,Both sexes,Age 15-29,956431
1971,Number,Both sexes,Age 15-49,1935980
1971,Number,Both sexes,Age 15-64,2265176
1971,Number,Both sexes,Age 20-24,319317
1971,Number,Both sexes,Age 25-29,225727
1971,Number,Both sexes,Age 30-34,289810
1971,Number,Both sexes,Age 35-39,280482
1971,Number,Both sexes,Age 40-44,243016
1971,Number,Both sexes,Age 45-49,166241
1971,Number,Both sexes,Age 50-54,101840
1971,Number,Both sexes,Age 55-59,114629
1971,Number,Both sexes,Age 60-64,112727
1971,Number,Both sexes,Age 65-69,79808
1971,Number,Both sexes,Age 65+,190566
1971,Number,Both sexes,Age 75+,57209
1971,Number,Both sexes,Age 85+,7784
1971,Number,Both sexes,Age 70-74,53549
1971,Number,Both sexes,Age 75-79,23050
1971,Number,Both sexes,Age 80-84,12152
1971,Number,Both sexes,Age 85-89,5112
1971,Number,Both sexes,Age 90-94,1938
1971,Number,Both sexes,Age 95-99,672
1971,Number,Both sexes,Age 100-104,62
1971,Number,Both sexes,Age 100+,62
1971,Number,Both sexes,Age 105-109,0
1971,Number,Both sexes,Age 110-114,0
1971,Number,Both sexes,Age 115-120,0
1971,Number,Both sexes,Unknown,14223
1971,Number,Both sexes,Total,3746111
