Year,UNIT_MEASURE,Ентитет,Value
1999,Број,BiH,352
1999,Број,Република Српска,352
2000,Број,BiH,341
2000,Број,Република Српска,341
2001,Број,BiH,324
2001,Број,Република Српска,324
2002,Број,BiH,313
2002,Број,Република Српска,313
2003,Број,BiH,328
2003,Број,Република Српска,328
2004,Број,BiH,359
2004,Број,Република Српска,359
2005,Број,BiH,399
2005,Број,Република Српска,399
2006,Број,BiH,467
2006,Број,Република Српска,467
2007,Број,BiH,1037
2007,Број,FBiH,500
2007,Број,Република Српска,537
2008,Број,BiH,1083
2008,Број,FBiH,500
2008,Број,Република Српска,583
2009,Број,BiH,1156
2009,Број,FBiH,527
2009,Број,Република Српска,629
2010,Број,BiH,1209
2010,Број,FBiH,554
2010,Број,Република Српска,655
2011,Број,BiH,1179
2011,Број,FBiH,516
2011,Број,Република Српска,663
2012,Број,BiH,1274
2012,Број,FBiH,593
2012,Број,Република Српска,681
2013,Број,BiH,1350
2013,Број,FBiH,665
2013,Број,Република Српска,685
2014,Број,BiH,1356
2014,Број,FBiH,671
2014,Број,Република Српска,685
2015,Број,BiH,1355
2015,Број,FBiH,673
2015,Број,Република Српска,682
2016,Број,BiH,1377
2016,Број,FBiH,676
2016,Број,Република Српска,701
2017,Број,BiH,1404
2017,Број,FBiH,735
2017,Број,Република Српска,669
2018,Број,BiH,1498
2018,Број,FBiH,798
2018,Број,Република Српска,670
2019,Број,BiH,873
2019,Број,FBiH,873
2018,Број,Брчко Дистрикт БиХ,30
