Year,UNIT_MEASURE,Entity,Value
2005,NUMBER,BiH,421
2005,NUMBER,RS,421
2006,NUMBER,BiH,409
2006,NUMBER,RS,409
2007,NUMBER,BiH,797
2007,NUMBER,FBiH,797
2008,NUMBER,BiH,1235
2008,NUMBER,FBiH,818
2008,NUMBER,RS,417
2009,NUMBER,BiH,1226
2009,NUMBER,FBiH,820
2009,NUMBER,RS,406
2010,NUMBER,BiH,1226
2010,NUMBER,FBiH,831
2010,NUMBER,RS,395
2011,NUMBER,BiH,1224
2011,NUMBER,FBiH,834
2011,NUMBER,RS,390
2012,NUMBER,BiH,1244
2012,NUMBER,FBiH,847
2012,NUMBER,RS,397
2013,NUMBER,BiH,1132
2013,NUMBER,FBiH,755
2013,NUMBER,RS,377
2014,NUMBER,BiH,1116
2014,NUMBER,FBiH,737
2014,NUMBER,RS,379
2015,NUMBER,BiH,1088
2015,NUMBER,FBiH,717
2015,NUMBER,RS,371
2016,NUMBER,BiH,1075
2016,NUMBER,FBiH,704
2016,NUMBER,RS,371
2017,NUMBER,BiH,1050
2017,NUMBER,FBiH,687
2017,NUMBER,RS,363
2018,NUMBER,BiH,1063
2018,NUMBER,FBiH,689
2018,NUMBER,RS,371
2019,NUMBER,BiH,701
2019,NUMBER,FBiH,701
2018,NUMBER,BD,3
