Year,Године,Ентитет,UNIT_MEASURE,Value
1998,15 - 19,BiH,Број,3191
1999,13 - 14,Федерација БиХ,Број,0
1999,15 - 19,Федерација БиХ,Број,2073
1999,13 - 14,Република Српска,Број,1
1999,15 - 19,Република Српска,Број,907
1999,13 - 14,Брчко Дистрикт БиХ,Број,0
1999,15 - 19,Брчко Дистрикт БиХ,Број,0
1999,13 - 14,BiH,Број,1
1999,15 - 19,BiH,Број,2980
2000,13 - 14,Федерација БиХ,Број,3
2000,15 - 19,Федерација БиХ,Број,1806
2000,13 - 14,Република Српска,Број,1
2000,15 - 19,Република Српска,Број,722
2000,13 - 14,Брчко Дистрикт БиХ,Број,0
2000,15 - 19,Брчко Дистрикт БиХ,Број,0
2000,13 - 14,BiH,Број,4
2000,15 - 19,BiH,Број,2528
2001,13 - 14,Федерација БиХ,Број,13
2001,15 - 19,Федерација БиХ,Број,1679
2001,13 - 14,Република Српска,Број,2
2001,15 - 19,Република Српска,Број,938
2001,13 - 14,Брчко Дистрикт БиХ,Број,0
2001,15 - 19,Брчко Дистрикт БиХ,Број,0
2001,13 - 14,BiH,Број,15
2001,15 - 19,BiH,Број,2617
2002,13 - 14,Федерација БиХ,Број,10
2002,15 - 19,Федерација БиХ,Број,1561
2002,13 - 14,Република Српска,Број,4
2002,15 - 19,Република Српска,Број,787
2002,13 - 14,Брчко Дистрикт БиХ,Број,0
2002,15 - 19,Брчко Дистрикт БиХ,Број,0
2002,13 - 14,BiH,Број,14
2002,15 - 19,BiH,Број,2348
2003,13 - 14,Федерација БиХ,Број,9
2003,15 - 19,Федерација БиХ,Број,1457
2003,13 - 14,Република Српска,Број,0
2003,15 - 19,Република Српска,Број,688
2003,13 - 14,Брчко Дистрикт БиХ,Број,0
2003,15 - 19,Брчко Дистрикт БиХ,Број,0
2003,13 - 14,BiH,Број,9
2003,15 - 19,BiH,Број,2145
2004,13 - 14,Федерација БиХ,Број,7
2004,15 - 19,Федерација БиХ,Број,1396
2004,13 - 14,Република Српска,Број,4
2004,15 - 19,Република Српска,Број,697
2004,13 - 14,Брчко Дистрикт БиХ,Број,1
2004,15 - 19,Брчко Дистрикт БиХ,Број,43
2004,13 - 14,BiH,Број,12
2004,15 - 19,BiH,Број,2136
2005,13 - 14,Федерација БиХ,Број,2
2005,15 - 19,Федерација БиХ,Број,1296
2005,13 - 14,Република Српска,Број,3
2005,15 - 19,Република Српска,Број,659
2005,13 - 14,Брчко Дистрикт БиХ,Број,1
2005,15 - 19,Брчко Дистрикт БиХ,Број,52
2005,13 - 14,BiH,Број,6
2005,15 - 19,BiH,Број,2007
2006,13 - 14,Федерација БиХ,Број,4
2006,15 - 19,Федерација БиХ,Број,1399
2006,13 - 14,Република Српска,Број,3
2006,15 - 19,Република Српска,Број,586
2006,13 - 14,Брчко Дистрикт БиХ,Број,1
2006,15 - 19,Брчко Дистрикт БиХ,Број,57
2006,13 - 14,BiH,Број,8
2006,15 - 19,BiH,Број,2042
2007,13 - 14,Федерација БиХ,Број,2
2007,15 - 19,Федерација БиХ,Број,1357
2007,13 - 14,Република Српска,Број,3
2007,15 - 19,Република Српска,Број,557
2007,13 - 14,Брчко Дистрикт БиХ,Број,2
2007,15 - 19,Брчко Дистрикт БиХ,Број,57
2007,13 - 14,BiH,Број,7
2007,15 - 19,BiH,Број,1971
2008,13 - 14,Федерација БиХ,Број,2
2008,15 - 19,Федерација БиХ,Број,1507
2008,13 - 14,Република Српска,Број,4
2008,15 - 19,Република Српска,Број,536
2008,13 - 14,Брчко Дистрикт БиХ,Број,7
2008,15 - 19,Брчко Дистрикт БиХ,Број,53
2008,13 - 14,BiH,Број,13
2008,15 - 19,BiH,Број,2096
2009,13 - 14,Федерација БиХ,Број,4
2009,15 - 19,Федерација БиХ,Број,1411
2009,13 - 14,Република Српска,Број,3
2009,15 - 19,Република Српска,Број,499
2009,13 - 14,Брчко Дистрикт БиХ,Број,5
2009,15 - 19,Брчко Дистрикт БиХ,Број,58
2009,13 - 14,BiH,Број,12
2009,15 - 19,BiH,Број,1968
2010,13 - 14,Федерација БиХ,Број,5
2010,15 - 19,Федерација БиХ,Број,1285
2010,13 - 14,Република Српска,Број,0
2010,15 - 19,Република Српска,Број,436
2010,13 - 14,Брчко Дистрикт БиХ,Број,3
2010,15 - 19,Брчко Дистрикт БиХ,Број,64
2010,13 - 14,BiH,Број,8
2010,15 - 19,BiH,Број,1785
2011,13 - 14,Федерација БиХ,Број,5
2011,15 - 19,Федерација БиХ,Број,1136
2011,13 - 14,Република Српска,Број,0
2011,15 - 19,Република Српска,Број,407
2011,13 - 14,Брчко Дистрикт БиХ,Број,4
2011,15 - 19,Брчко Дистрикт БиХ,Број,71
2011,13 - 14,BiH,Број,9
2011,15 - 19,BiH,Број,1614
2012,13 - 14,Федерација БиХ,Број,2
2012,15 - 19,Федерација БиХ,Број,1040
2012,13 - 14,Република Српска,Број,1
2012,15 - 19,Република Српска,Број,452
2012,13 - 14,Брчко Дистрикт БиХ,Број,2
2012,15 - 19,Брчко Дистрикт БиХ,Број,54
2012,13 - 14,BiH,Број,5
2012,15 - 19,BiH,Број,1546
2013,13 - 14,Федерација БиХ,Број,4
2013,15 - 19,Федерација БиХ,Број,950
2013,13 - 14,Република Српска,Број,0
2013,15 - 19,Република Српска,Број,376
2013,13 - 14,Брчко Дистрикт БиХ,Број,1
2013,15 - 19,Брчко Дистрикт БиХ,Број,56
2013,13 - 14,BiH,Број,5
2013,15 - 19,BiH,Број,1382
2014,13 - 14,Федерација БиХ,Број,3
2014,15 - 19,Федерација БиХ,Број,932
2014,13 - 14,Република Српска,Број,0
2014,15 - 19,Република Српска,Број,362
2014,13 - 14,Брчко Дистрикт БиХ,Број,1
2014,15 - 19,Брчко Дистрикт БиХ,Број,48
2014,13 - 14,BiH,Број,4
2014,15 - 19,BiH,Број,1342
2015,13 - 14,Федерација БиХ,Број,3
2015,15 - 19,Федерација БиХ,Број,948
2015,13 - 14,Република Српска,Број,1
2015,15 - 19,Република Српска,Број,311
2015,13 - 14,Брчко Дистрикт БиХ,Број,1
2015,15 - 19,Брчко Дистрикт БиХ,Број,55
2015,13 - 14,BiH,Број,5
2015,15 - 19,BiH,Број,1314
2016,13 - 14,Федерација БиХ,Број,3
2016,15 - 19,Федерација БиХ,Број,906
2016,13 - 14,Република Српска,Број,1
2016,15 - 19,Република Српска,Број,337
2016,13 - 14,Брчко Дистрикт БиХ,Број,0
2016,15 - 19,Брчко Дистрикт БиХ,Број,45
2016,13 - 14,BiH,Број,4
2016,15 - 19,BiH,Број,1288
2017,13 - 14,Федерација БиХ,Број,6
2017,15 - 19,Федерација БиХ,Број,734
2017,13 - 14,Република Српска,Број,0
2017,15 - 19,Република Српска,Број,280
2017,13 - 14,Брчко Дистрикт БиХ,Број,4
2017,15 - 19,Брчко Дистрикт БиХ,Број,50
2017,13 - 14,BiH,Број,10
2017,15 - 19,BiH,Број,1064
2018,13 - 14,Федерација БиХ,Број,4
2018,15 - 19,Федерација БиХ,Број,643
2018,13 - 14,Република Српска,Број,1
2018,15 - 19,Република Српска,Број,219
2018,13 - 14,Брчко Дистрикт БиХ,Број,0
2018,15 - 19,Брчко Дистрикт БиХ,Број,35
2018,13 - 14,BiH,Број,5
2018,15 - 19,BiH,Број,897
2019,13 - 14,Федерација БиХ,Број,1
2019,15 - 19,Федерација БиХ,Број,580
2019,13 - 14,Република Српска,Број,1
2019,15 - 19,Република Српска,Број,223
2019,13 - 14,Брчко Дистрикт БиХ,Број,2
2019,15 - 19,Брчко Дистрикт БиХ,Број,42
2019,13 - 14,BiH,Број,4
2019,15 - 19,BiH,Број,845
Година,Године,Ентитет,Мјерна јединица,Вриједност
1997,13 - 14,Федерација БиХ,Број,11
1997,15 - 19,Федерација БиХ,Број,3128
1997,13 - 14,Република Српска,Број,0
1997,15 - 19,Република Српска,Број,0
1997,13 - 14,Брчко Дистрикт БиХ,Број,0
1997,15 - 19,Брчко Дистрикт БиХ,Број,0
1997,13 - 14,BiH,Број,11
1997,15 - 19,BiH,Број,3128
1998,13 - 14,Федерација БиХ,Број,2
1998,15 - 19,Федерација БиХ,Број,2395
1998,13 - 14,Република Српска,Број,0
1998,15 - 19,Република Српска,Број,796
1998,13 - 14,Брчко Дистрикт БиХ,Број,0
1998,15 - 19,Брчко Дистрикт БиХ,Број,0
1998,13 - 14,BiH,Број,2
1998,15 - 19,BiH,Број,3191
1999,13 - 14,Федерација БиХ,Број,0
1999,15 - 19,Федерација БиХ,Број,2073
1999,13 - 14,Република Српска,Број,1
1999,15 - 19,Република Српска,Број,907
1999,13 - 14,Брчко Дистрикт БиХ,Број,0
1999,15 - 19,Брчко Дистрикт БиХ,Број,0
1999,13 - 14,BiH,Број,1
1999,15 - 19,BiH,Број,2980
2000,13 - 14,Федерација БиХ,Број,3
2000,15 - 19,Федерација БиХ,Број,1806
2000,13 - 14,Република Српска,Број,1
2000,15 - 19,Република Српска,Број,722
2000,13 - 14,Брчко Дистрикт БиХ,Број,0
2000,15 - 19,Брчко Дистрикт БиХ,Број,0
2000,13 - 14,BiH,Број,4
2000,15 - 19,BiH,Број,2528
2001,13 - 14,Федерација БиХ,Број,13
2001,15 - 19,Федерација БиХ,Број,1679
2001,13 - 14,Република Српска,Број,2
2001,15 - 19,Република Српска,Број,938
2001,13 - 14,Брчко Дистрикт БиХ,Број,0
2001,15 - 19,Брчко Дистрикт БиХ,Број,0
2001,13 - 14,BiH,Број,15
2001,15 - 19,BiH,Број,2617
2002,13 - 14,Федерација БиХ,Број,10
2002,15 - 19,Федерација БиХ,Број,1561
2002,13 - 14,Република Српска,Број,4
2002,15 - 19,Република Српска,Број,787
2002,13 - 14,Брчко Дистрикт БиХ,Број,0
