Year,UNIT_MEASURE,school_year_beginning,SEX,Value
2013,NUMBER,2011/2012,_T,163284
2013,NUMBER,2012/2013,_T,166662
2013,NUMBER,2013/2014,_T,156350
2013,NUMBER,2014/2015,_T,143881
2013,NUMBER,2015/2016,_T,133228
2013,NUMBER,2016/2017,_T,126824
2013,NUMBER,2017/2018,_T,124148
2013,NUMBER,2018/2019,_T,117475
2013,NUMBER,2019/2020,_T,112796
2013,NUMBER,2020/2021,_T,110404
2013,NUMBER,2011/2012,M,82745
2013,NUMBER,2012/2013,M,84420
2013,NUMBER,2013/2014,M,78882
2013,NUMBER,2014/2015,M,72095
2013,NUMBER,2015/2016,M,66708
2013,NUMBER,2016/2017,M,63232
2013,NUMBER,2017/2018,M,61934
2013,NUMBER,2018/2019,M,58821
2013,NUMBER,2019/2020,M,56328
2013,NUMBER,2020/2021,M,55068
2013,NUMBER,2011/2012,F,80539
2013,NUMBER,2012/2013,F,82242
2013,NUMBER,2013/2014,F,77468
2013,NUMBER,2014/2015,F,71786
2013,NUMBER,2015/2016,F,66520
2013,NUMBER,2016/2017,F,63592
2013,NUMBER,2017/2018,F,62214
2013,NUMBER,2018/2019,F,58654
2013,NUMBER,2019/2020,F,56468
2013,NUMBER,2020/2021,F,55336
