Year,SEX,BIRTHS,UNIT_MEASURE,Value
2020,_T,LIVE_BIRTH,NUMBER,14312.78
2020,_T,DEATHS,NUMBER,18449.39
2020,_T,NATURAL_CHANGE,NUMBER,-4136.61
2025,_T,LIVE_BIRTH,NUMBER,12653.45
2025,_T,DEATHS,NUMBER,19263.68
2025,_T,NATURAL_CHANGE,NUMBER,-6610.23
2030,_T,LIVE_BIRTH,NUMBER,11065.26
2030,_T,DEATHS,NUMBER,20122.9
2030,_T,NATURAL_CHANGE,NUMBER,-9057.64
2035,_T,LIVE_BIRTH,NUMBER,9720.12
2035,_T,DEATHS,NUMBER,21034.49
2035,_T,NATURAL_CHANGE,NUMBER,-11314.37
2040,_T,LIVE_BIRTH,NUMBER,8776.05
2040,_T,DEATHS,NUMBER,21877.98
2040,_T,NATURAL_CHANGE,NUMBER,-13101.93
2045,_T,LIVE_BIRTH,NUMBER,7983.76
2045,_T,DEATHS,NUMBER,22409.28
2045,_T,NATURAL_CHANGE,NUMBER,-14425.52
2050,_T,LIVE_BIRTH,NUMBER,7253.33
2050,_T,DEATHS,NUMBER,22341.66
2050,_T,NATURAL_CHANGE,NUMBER,-15088.33
2055,_T,LIVE_BIRTH,NUMBER,6552.43
2055,_T,DEATHS,NUMBER,21791.64
2055,_T,NATURAL_CHANGE,NUMBER,-15239.21
2060,_T,LIVE_BIRTH,NUMBER,5878.35
2060,_T,DEATHS,NUMBER,20921.08
2060,_T,NATURAL_CHANGE,NUMBER,-15042.73
2065,_T,LIVE_BIRTH,NUMBER,5267.66
2065,_T,DEATHS,NUMBER,19944.35
2065,_T,NATURAL_CHANGE,NUMBER,-14676.69
2070,_T,LIVE_BIRTH,NUMBER,4759.53
2070,_T,DEATHS,NUMBER,18903.51
2070,_T,NATURAL_CHANGE,NUMBER,-14143.98
2020,M,LIVE_BIRTH,NUMBER,15198.1
2020,M,DEATHS,NUMBER,19067.38
2020,M,NATURAL_CHANGE,NUMBER,-3869.28
2025,M,LIVE_BIRTH,NUMBER,13436.14
2025,M,DEATHS,NUMBER,19749.42
2025,M,NATURAL_CHANGE,NUMBER,-6313.28
2030,M,LIVE_BIRTH,NUMBER,11749.71
2030,M,DEATHS,NUMBER,20415.9
2030,M,NATURAL_CHANGE,NUMBER,-8666.19
2035,M,LIVE_BIRTH,NUMBER,10321.36
2035,M,DEATHS,NUMBER,21109.52
2035,M,NATURAL_CHANGE,NUMBER,-10788.16
2040,M,LIVE_BIRTH,NUMBER,9318.9
2040,M,DEATHS,NUMBER,21636.31
2040,M,NATURAL_CHANGE,NUMBER,-12317.42
2045,M,LIVE_BIRTH,NUMBER,8477.6
2045,M,DEATHS,NUMBER,21687.35
2045,M,NATURAL_CHANGE,NUMBER,-13209.75
2050,M,LIVE_BIRTH,NUMBER,7701.99
2050,M,DEATHS,NUMBER,21195.41
2050,M,NATURAL_CHANGE,NUMBER,-13493.42
2055,M,LIVE_BIRTH,NUMBER,6957.74
2055,M,DEATHS,NUMBER,20338.32
2055,M,NATURAL_CHANGE,NUMBER,-13380.59
2060,M,LIVE_BIRTH,NUMBER,6241.95
2060,M,DEATHS,NUMBER,19207.75
2060,M,NATURAL_CHANGE,NUMBER,-12965.8
2065,M,LIVE_BIRTH,NUMBER,5593.5
2065,M,DEATHS,NUMBER,17838.31
2065,M,NATURAL_CHANGE,NUMBER,-12244.81
2070,M,LIVE_BIRTH,NUMBER,5053.93
2070,M,DEATHS,NUMBER,16375.72
2070,M,NATURAL_CHANGE,NUMBER,-11321.79
2020,F,LIVE_BIRTH,NUMBER,14312.78
2020,F,DEATHS,NUMBER,18449.39
2020,F,NATURAL_CHANGE,NUMBER,-4136.61
2025,F,LIVE_BIRTH,NUMBER,12653.45
2025,F,DEATHS,NUMBER,19263.68
2025,F,NATURAL_CHANGE,NUMBER,-6610.23
2030,F,LIVE_BIRTH,NUMBER,11065.26
2030,F,DEATHS,NUMBER,20122.9
2030,F,NATURAL_CHANGE,NUMBER,-9057.64
2035,F,LIVE_BIRTH,NUMBER,9720.12
2035,F,DEATHS,NUMBER,21034.49
2035,F,NATURAL_CHANGE,NUMBER,-11314.37
2040,F,LIVE_BIRTH,NUMBER,8776.05
2040,F,DEATHS,NUMBER,21877.98
2040,F,NATURAL_CHANGE,NUMBER,-13101.93
2045,F,LIVE_BIRTH,NUMBER,7983.76
2045,F,DEATHS,NUMBER,22409.28
2045,F,NATURAL_CHANGE,NUMBER,-14425.52
2050,F,LIVE_BIRTH,NUMBER,7253.33
2050,F,DEATHS,NUMBER,22341.66
2050,F,NATURAL_CHANGE,NUMBER,-15088.33
2055,F,LIVE_BIRTH,NUMBER,6552.43
2055,F,DEATHS,NUMBER,21791.64
2055,F,NATURAL_CHANGE,NUMBER,-15239.21
2060,F,LIVE_BIRTH,NUMBER,5878.35
2060,F,DEATHS,NUMBER,20921.08
2060,F,NATURAL_CHANGE,NUMBER,-15042.73
2065,F,LIVE_BIRTH,NUMBER,5267.66
2065,F,DEATHS,NUMBER,19944.35
2065,F,NATURAL_CHANGE,NUMBER,-14676.69
2070,F,LIVE_BIRTH,NUMBER,4759.53
2070,F,DEATHS,NUMBER,18903.51
2070,F,NATURAL_CHANGE,NUMBER,-14143.98
