Year,UNIT_MEASURE,Administrative area,Value
2005,Number,BiH,351.0
2005,Number,Republika Srpska,351.0
2006,Number,BiH,331.0
2006,Number,Republika Srpska,331.0
2007,Number,BiH,918.0
2007,Number,FBiH,521.0
2007,Number,Republika Srpska,397.0
2008,Number,BiH,852.0
2008,Number,FBiH,425.0
2008,Number,Republika Srpska,427.0
2009,Number,BiH,963.0
2009,Number,FBiH,560.0
2009,Number,Republika Srpska,403.0
2010,Number,BiH,876.0
2010,Number,FBiH,465.0
2010,Number,Republika Srpska,411.0
2011,Number,BiH,852.0
2011,Number,FBiH,419.0
2011,Number,Republika Srpska,433.0
2012,Number,BiH,488.0
2012,Number,FBiH,488.0
2013,Number,BiH,307.0
2013,Number,FBiH,307.0
2014,Number,BiH,208.0
2014,Number,FBiH,208.0
2015,Number,BiH,538.0
2015,Number,FBiH,538.0
2016,Number,BiH,1023.0
2016,Number,FBiH,574.0
2016,Number,Republika Srpska,449.0
2017,Number,BiH,556.0
2017,Number,FBiH,556.0
