Year,UNIT_MEASURE,Administrative area,Value
2005,Number,Republika Srpska,47.28
2006,Number,Republika Srpska,44.67
2007,Number,Federation of BiH,43.82
2007,Number,Republika Srpska,53.73
2008,Number,Federation of BiH,35.76
2008,Number,Republika Srpska,57.88
2009,Number,Federation of BiH,47.12
2009,Number,Republika Srpska,54.71
2010,Number,Federation of BiH,38.95
2010,Number,Republika Srpska,55.88
2011,Number,Federation of BiH,35.14
2011,Number,Republika Srpska,59.01
2012,Number,Federation of BiH,41.44
2013,Number,Federation of BiH,26.08
2014,Number,Federation of BiH,17.67
2015,Number,Federation of BiH,45.75
2016,Number,Federation of BiH,51.07
2016,Number,Republika Srpska,75.83
2017,Number,Federation of BiH,49.6
