Year,Пол,UNIT_MEASURE,Value
2018,Оба пола,Број,41.6
2020,Оба пола,Број,42.45
2025,Оба пола,Број,44.5
2030,Оба пола,Број,46.44
2035,Оба пола,Број,48.27
2040,Оба пола,Број,49.91
2045,Оба пола,Број,51.31
2050,Оба пола,Број,52.46
2055,Оба пола,Број,53.39
2060,Оба пола,Број,54.16
2065,Оба пола,Број,54.77
2070,Оба пола,Број,55.22
2018,M,Број,40.31
2020,M,Број,41.2
2025,M,Број,43.3
2030,M,Број,45.28
2035,M,Број,47.12
2040,M,Број,48.74
2045,M,Број,50.1
2050,M,Број,51.18
2055,M,Број,52.03
2060,M,Број,52.66
2065,M,Број,53.1
2070,M,Број,53.38
2018,Ж,Број,42.84
2020,Ж,Број,43.65
2025,Ж,Број,45.62
2030,Ж,Број,47.51
2035,Ж,Број,49.32
2040,Ж,Број,50.95
2045,Ж,Број,52.36
2050,Ж,Број,53.55
2055,Ж,Број,54.55
2060,Ж,Број,55.4
2065,Ж,Број,56.13
2070,Ж,Број,56.7
